Size,Zeta Potential,Admin,Type,MAT,TS,CT,TM,Shape,_candidate_id,pred_proba_high,pred_score,Size (nm),rank_model
2.379,-10.055,382.865,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,5364,0.9855340901667039,0.9855340901667039,239.33157564053874,1
2.538,-11.012,176.148,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,32414,0.9850130491279577,0.9850130491279577,345.1437393358561,2
2.417,-11.281,103.86,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,5354,0.9845051991830897,0.9845051991830897,261.21613543992055,3
2.323,-11.796,44.545,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,29320,0.9844652253730846,0.9844652253730846,210.3778439766475,4
2.475,-16.04,98.87,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,49892,0.9827333510535943,0.9827333510535943,298.538261891796,5
2.194,-31.085,413.513,ONM,Polymeric,Passive,Liver,Xenograft Heterotopic,Spherical,38375,0.9823876831976681,0.9823876831976681,156.3147642640954,6
2.181,-13.576,103.301,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,10455,0.9797319599716348,0.9797319599716348,151.70503674593368,7
1.262,-1.288,67.797,ONM,Dendrimer,Active,Breast,Allograft Heterotopic,Spherical,668,0.9791184300658639,0.9791184300658639,18.281002161427427,8
2.493,-14.478,315.078,Hybrid,Hybrid,Passive,Skin,Allograft Orthotopic,Spherical,44755,0.9782866916196105,0.9782866916196105,311.17163371060167,9
1.149,13.171,0.121,ONM,Dendrimer,Active,Cervix,Xenograft Heterotopic,Spherical,34600,0.9781835042240395,0.9781835042240395,14.092887984218748,10
2.525,-15.877,264.766,Hybrid,Hybrid,Passive,Skin,Allograft Orthotopic,Spherical,23686,0.9774706591035082,0.9774706591035082,334.9654391578276,11
2.283,-7.659,143.14,INM,Gold,Passive,Skin,Xenograft Orthotopic,Spherical,27796,0.9771998192373957,0.9771998192373957,191.8668740670289,12
2.312,-12.188,200.287,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,4626,0.9770215734131278,0.9770215734131278,205.11621788255647,13
2.211,-17.188,412.287,ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,32510,0.976777168050465,0.976777168050465,162.55487557504833,14
